,agg_scores,exp_scores,cell_type_category
pseudobulk_108,0.18304097148211057,0.56059057,Nephron progenitor
pseudobulk_109,0.12401577808486404,0.72073853,Stroma
pseudobulk_110,0.1868773584301343,0.9742272,Nephron progenitor
pseudobulk_111,0.2524285964291226,0.9713639,Nephron progenitor
pseudobulk_112,0.2276228018504258,0.9676011,Nephron progenitor
pseudobulk_113,0.12448363715884327,0.5096853,Nephron epithelium
pseudobulk_114,0.2380385771161813,0.962791,Nephron progenitor
pseudobulk_115,0.16828512525716716,1.0025989,Nephron progenitor
pseudobulk_116,0.19683939814126056,0.7096734,Nephron progenitor
pseudobulk_117,0.19863179933383548,0.7601935,Nephron progenitor
pseudobulk_118,0.23009753476344103,0.8424623,Nephron progenitor
pseudobulk_119,0.21595880379174645,0.7528544,Nephron progenitor
pseudobulk_120,0.23198468554573604,0.89734316,Nephron epithelium
pseudobulk_121,0.2551200920058778,1.0077368,Nephron progenitor
pseudobulk_122,0.20754808009496212,0.71855927,Nephron progenitor
pseudobulk_123,0.23277135611624133,0.72565746,Nephron progenitor
pseudobulk_124,0.22462278031843694,0.9486324,Nephron progenitor
pseudobulk_125,0.2120946991076346,1.1494997,Nephron progenitor
pseudobulk_126,0.17434727550425655,1.0120602,Nephron progenitor
pseudobulk_127,0.14141094330897985,0.0,Nephron progenitor
pseudobulk_128,0.18327235242724874,0.72968554,Stroma
pseudobulk_129,0.19943411684954146,0.76403683,Nephron progenitor
pseudobulk_130,0.1390050798531743,0.34504354,Nephron progenitor
pseudobulk_131,0.19335817814430462,0.5705141,Nephron progenitor
pseudobulk_132,0.19024532153934676,1.066028,Nephron progenitor
pseudobulk_133,0.25038272106504783,0.9628741,Nephron progenitor
pseudobulk_134,0.25574818895654117,0.91040254,Nephron progenitor
pseudobulk_135,0.21129523691683577,0.41438138,Nephron progenitor
pseudobulk_136,0.24958159354146084,0.83389455,Nephron progenitor
pseudobulk_137,0.19938858219392935,0.6712674,Nephron progenitor
pseudobulk_138,0.25737482783727816,0.995554,Nephron progenitor
pseudobulk_139,0.23367141018433857,0.55113196,Nephron progenitor
pseudobulk_140,0.22222608143283268,0.7667395,Nephron progenitor
pseudobulk_141,0.22032275125183842,0.94806564,Nephron progenitor
pseudobulk_142,0.25141781910133076,1.0331478,Nephron progenitor
pseudobulk_143,0.22229935708810056,0.84096545,Nephron progenitor
pseudobulk_144,0.25384311966194734,0.85645866,Nephron progenitor
pseudobulk_145,0.2332221045671722,0.76350504,Nephron progenitor
pseudobulk_146,0.25199388489249536,0.95002735,Nephron progenitor
pseudobulk_147,0.2268968680204994,0.6300606,Nephron progenitor
pseudobulk_148,0.2473596132100471,0.9683672,Nephron progenitor
pseudobulk_149,0.23467169926629694,0.6521987,Nephron progenitor
pseudobulk_150,0.25735752584978017,0.6023448,Nephron progenitor
pseudobulk_151,0.264889937357107,1.0164659,Nephron progenitor
pseudobulk_152,0.24922043426817794,0.92060953,Nephron progenitor
pseudobulk_153,0.21967619320002618,0.8409655,Nephron progenitor
pseudobulk_154,0.25158635123534223,0.9254801,Nephron progenitor
pseudobulk_155,0.20943306064145525,0.675453,Nephron progenitor
pseudobulk_156,0.2630235697729364,0.745334,Nephron progenitor
pseudobulk_157,0.263591305240194,1.0943577,Nephron progenitor
pseudobulk_158,0.2339256518225699,0.5103938,Nephron progenitor
pseudobulk_159,0.18218670686473676,0.7204952,Nephron progenitor
pseudobulk_160,0.2521390978438337,0.6687072,Nephron progenitor
pseudobulk_161,0.20987074448020976,0.3373972,Nephron progenitor
pseudobulk_162,0.2141008331968767,0.60068595,Nephron progenitor
pseudobulk_163,0.21812282816426537,0.4438093,Nephron progenitor
pseudobulk_164,0.2532252928076524,0.71365494,Nephron progenitor
pseudobulk_165,0.23154562442686788,0.636691,Nephron progenitor
pseudobulk_166,0.24537878111550188,0.75880855,Nephron progenitor
pseudobulk_167,0.26630206534536743,0.9547407,Nephron progenitor
pseudobulk_168,0.2576103798251061,1.0258499,Nephron progenitor
pseudobulk_169,0.22278793055965768,0.72513825,Nephron progenitor
pseudobulk_170,0.2505660784315715,0.8392593,Nephron progenitor
pseudobulk_171,0.22607568541888762,0.6889579,Nephron progenitor
pseudobulk_172,0.2162224632093018,0.6406728,Nephron progenitor
pseudobulk_173,0.22025796292836827,0.8008676,Nephron progenitor
pseudobulk_174,0.20550469534100194,0.76832056,Nephron progenitor
pseudobulk_175,0.23135288618277286,0.8750782,Nephron progenitor
pseudobulk_176,0.12766072104704673,0.7477714,Nephron epithelium
pseudobulk_177,0.12302981752781851,1.0925758,Nephron epithelium
pseudobulk_178,0.11762139367965219,0.6673343,Nephron epithelium
pseudobulk_179,0.10257039658790439,0.53456396,Nephron progenitor
pseudobulk_180,0.1656604763843422,0.7222198,Nephron epithelium
pseudobulk_181,0.12287096639647292,0.7063883,Nephron epithelium
pseudobulk_182,0.125188043555678,0.7965087,Nephron epithelium
pseudobulk_183,0.1216007397206307,0.7878444,Nephron epithelium
pseudobulk_184,0.19963195731360975,0.6498052,Nephron progenitor
