,agg_scores,exp_scores,cell_type_category
pseudobulk_119,0.689591024974557,1.960507,immune
pseudobulk_120,0.4890033709063995,1.5807889,immune
pseudobulk_121,0.4418109796001738,1.6155387,immune
pseudobulk_122,0.5130238652105241,1.589748,immune
pseudobulk_123,0.7523788929931883,1.8121573,immune
pseudobulk_124,0.8613131540473622,2.2110746,immune
pseudobulk_125,0.8544416167333072,2.1972218,immune
pseudobulk_126,0.481475822052285,1.1739795,immune
pseudobulk_127,0.7213368406046315,1.8636923,immune
pseudobulk_128,0.7414139111583568,2.029851,immune
pseudobulk_129,0.8239468025922138,1.9867601,immune
pseudobulk_130,0.7004523333168426,2.127329,immune
pseudobulk_131,0.6144418050889688,1.9915968,immune
pseudobulk_132,0.45392809885924784,1.6103299,immune
pseudobulk_133,0.5154340896998487,1.6919974,immune
pseudobulk_134,0.4736285766011821,1.6673864,immune
pseudobulk_135,0.8384607759717213,2.2834935,immune
pseudobulk_136,0.5887076507167383,1.9862839,immune
pseudobulk_137,0.5782446124840093,1.6260666,immune
pseudobulk_138,0.48936379258202256,1.8338784,immune
pseudobulk_139,0.7458838484935726,2.162961,immune
pseudobulk_140,0.6247688437068997,2.00493,immune
pseudobulk_141,0.5594932200204947,1.8770803,immune
pseudobulk_142,0.4907365239546346,1.7579741,immune
pseudobulk_143,0.4310486735459981,1.5941994,immune
pseudobulk_144,0.5413624372422379,1.8964748,immune
pseudobulk_145,0.6131655454388423,1.7047029,immune
pseudobulk_146,0.7147809972057027,1.9662868,immune
pseudobulk_147,0.8284952456247038,2.1532812,immune
pseudobulk_148,0.7566708531550105,1.9092582,immune
pseudobulk_149,0.8755763545809668,2.1863236,immune
pseudobulk_150,0.80769602777445,2.1541548,immune
pseudobulk_151,0.689937978881058,1.9624472,immune
pseudobulk_152,0.8505651299183188,2.1608496,immune
pseudobulk_153,0.7721336695985841,1.91856,immune
pseudobulk_154,0.5513554642411647,1.561693,immune
pseudobulk_155,0.6030621364479847,1.9196086,immune
pseudobulk_156,0.5635202360263024,1.7424424,immune
pseudobulk_157,0.5912148566460433,1.9018954,immune
pseudobulk_158,0.6964173201718002,2.0766742,immune
pseudobulk_159,0.6308961457666514,1.780657,immune
pseudobulk_160,0.7459100087071374,1.9253838,endothelial
pseudobulk_161,0.6810569334029378,1.9500941,endothelial
