,family,gene,mean_expression,correlation,pval
0,ETS/2:ETS,Ehf,0.5648717880249023,0.020196666418956562,0.5671381399939918
1,ETS/2:ETS,Elf3,0.6938555836677551,-0.07554889836622143,0.021933111955402294
2,ETS/2:ETS,Elf5,0.09331277757883072,-0.09540371907272197,0.0036506102073076505
3,ETS/2:ETS,Erg,0.5393990278244019,-0.014185934626879872,0.6541098115722479
4,ETS/2:ETS,Elf2,1.8664236068725586,0.0656504878474393,0.04481724931693422
5,ETS/2:ETS,Etv5,1.2420200109481812,-0.11885894828742143,0.0003064572155364359
6,ETS/2:ETS,Ets1,1.9548242092132568,0.32004981905117896,1.2905806429576941e-24
7,ETS/2:ETS,Fli1,1.6877809762954712,0.6692647888392401,8.931105568024274e-130
8,ETS/2:ETS,Elk4,1.6498347520828247,0.10692744813527162,0.0011489685047502691
9,ETS/2:ETS,Etv4,0.29857152700424194,-0.3431417760995491,3.3702826914809764e-28
10,ETS/2:ETS,Etv6,1.5249840021133423,0.2718272778219197,6.90528621855253e-18
11,ETS/2:ETS,Ets2,1.8567157983779907,-0.22558387333069146,1.3726918230502241e-12
12,ETS/2:ETS,Fev,0.08421148359775543,-0.13215606740397803,5.982636204033843e-05
0,CREB/ATF/1:bZIP,Atf1,1.8107925653457642,0.3767154058455521,4.975189805288579e-34
1,CREB/ATF/1:bZIP,Creb1,1.7343472242355347,0.35566058286152813,1.9063935235170923e-30
2,CREB/ATF/1:bZIP,Atf2,1.7452425956726074,0.24411337757805784,1.0851441267203649e-14
3,CREB/ATF/1:bZIP,Atf3,1.9074348211288452,-0.042808982586737106,0.19377864354296112
4,CREB/ATF/1:bZIP,Crem,1.6993601322174072,0.34935943671527775,1.625995345971571e-29
5,CREB/ATF/1:bZIP,Fos,2.4469096660614014,0.10955803355803358,0.0007139052814868951
6,CREB/ATF/1:bZIP,Fosl2,1.681554913520813,-0.0047214265988234725,0.8814599613340127
7,CREB/ATF/1:bZIP,Fosl1,0.8449521660804749,0.12371345795961645,0.00013779963268573272
8,CREB/ATF/1:bZIP,Jun,2.4702563285827637,0.0670107612117935,0.04168700793309393
9,CREB/ATF/1:bZIP,Fosb,1.9589396715164185,0.13546164016398882,3.157666323474732e-05
10,CREB/ATF/1:bZIP,Junb,2.4997029304504395,0.30225551025551034,3.934814325040546e-22
0,E2F/2:E2F,E2f1,0.907284677028656,-0.035144065095355524,0.2668672242186879
1,E2F/2:E2F,Tfdp1,1.5578908920288086,0.38929330205460905,4.692430969024263e-37
2,E2F/2:E2F,E2f4,1.8344526290893555,0.11119621119774303,0.000512290218113056
3,E2F/2:E2F,E2f6,1.2752971649169922,0.6044689358428067,7.107808391827405e-100
4,E2F/2:E2F,E2f3,1.066568374633789,0.11739305111082873,0.000298216633791162
5,E2F/2:E2F,E2f7,0.40442711114883423,0.16041737300929398,6.808944686952108e-07
0,ETS/1:ETS,Elf1,2.138491630554199,0.597006093006093,2.896347531628421e-96
1,ETS/1:ETS,Elf2,1.8664236068725586,0.24811962286398173,3.4066326867143184e-15
2,ETS/1:ETS,Gabpa,1.595500111579895,0.27390839395567795,2.5151423090554243e-18
3,ETS/1:ETS,Elk1,1.0383940935134888,0.06063254364086712,0.0639987084953374
4,ETS/1:ETS,Elk4,1.6498347520828247,0.28709162570437463,5.467867409136533e-20
5,ETS/1:ETS,Etv1,0.9863944053649902,-0.2815698671141828,2.724215618596273e-19
6,ETS/1:ETS,Ehf,0.5648717880249023,0.07051679625209926,0.033326726737145554
7,ETS/1:ETS,Elf4,1.4826630353927612,0.5862790750875151,2.518738485288897e-92
8,ETS/1:ETS,Elf3,0.6938555836677551,0.06288804104421429,0.05719058612216516
9,ETS/1:ETS,Elf5,0.09331277757883072,-0.04925675339119598,0.12525109489186756
10,ETS/1:ETS,Etv6,1.5249840021133423,0.32306910289747115,3.6719553626771687e-25
11,ETS/1:ETS,Elk3,1.5656275749206543,0.2113109333388019,2.4977514760374056e-11
12,ETS/1:ETS,Zbtb7a,2.181539535522461,0.40959620082498943,5.36824814623354e-41
13,ETS/1:ETS,Fev,0.08421148359775543,-0.11214326633913073,0.0005983667117373837
14,ETS/1:ETS,Etv4,0.29857152700424194,-0.21204252055638728,2.294046792818309e-11
15,ETS/1:ETS,Erg,0.5393990278244019,-0.05400914280875683,0.09659834080541717
16,ETS/1:ETS,Ets1,1.9548242092132568,0.3011193884463453,6.575832589356138e-22
17,ETS/1:ETS,Etv5,1.2420200109481812,-0.028549321577346323,0.36712939017836344
18,ETS/1:ETS,Etv3,1.4534015655517578,0.3749156395171176,4.388305957269592e-34
19,ETS/1:ETS,Fli1,1.6877809762954712,0.5258507036414088,2.510297536502009e-71
20,ETS/1:ETS,Spdef,0.1946270763874054,-0.07494906351915333,0.02442768424161753
21,ETS/1:ETS,Erf,1.509806513786316,-0.10388784893539595,0.0014693145155197024
0,KLF/SP/2:C2H2,Egr1,2.2033915519714355,0.5985788025788026,9.148147698417918e-98
