,family,gene,mean_expression,correlation,pval
22,Ebox/CACGTG/1:bHLH,Hes7,0.27697545,0.07693208611398887,0.017678803106647288
23,Ebox/CACGTG/1:bHLH,Clock,1.5761116,-0.11915364908907457,0.00021745310106854323
24,Ebox/CACGTG/1:bHLH,Hes5,0.2912643,0.2456910921795445,6.040098221954164e-15
25,Ebox/CACGTG/1:bHLH,Creb3l1,1.0303829,-0.16762427209133687,1.4865762331563398e-07
0,GC-tract:C2H2,Klf15,0.7933345,0.4000757060837616,1.3260170195733933e-39
1,GC-tract:C2H2,Maz,1.7016846,-0.5293302258540127,1.074147111679423e-72
2,GC-tract:C2H2,Taf1,1.7127713,-0.29820529736222456,5.502846567611079e-22
3,GC-tract:C2H2,Thap1,1.2576975,-0.49335315304802047,3.6632306100979157e-62
0,Ebox/CACCTG:bHLH,Snai1,0.6885142,-0.46548361892257745,1.1295236657003293e-54
1,Ebox/CACCTG:bHLH,Snai2,0.88433135,-0.5321928477193998,1.1322350035113391e-73
2,Ebox/CACCTG:bHLH,Tcf3,1.8632035,-0.3906282569720266,1.1826017567888402e-37
3,Ebox/CACCTG:bHLH,Id4,0.8895508,-0.36538050144069717,7.0709836864307e-33
4,Ebox/CACCTG:bHLH,Tcf4,2.1860685,-0.6521443418829402,2.4918274241935825e-121
5,Ebox/CACCTG:bHLH,Zeb1,1.5103161,-0.5034630591685995,5.201445110541861e-65
6,Ebox/CACCTG:bHLH,Mesp1,0.0474633,0.14035843735051848,8.387635818196847e-06
0,Ebox/CAGCTG:bHLH,Ascl1,0.08189404,0.1265880247036851,0.00019881172379604972
1,Ebox/CAGCTG:bHLH,Ascl2,0.33125514,-0.08481070535270181,0.01821772148661037
2,Ebox/CAGCTG:bHLH,Myog,0.05051153,-0.062484790368596124,0.08037095861147096
3,Ebox/CAGCTG:bHLH,Myf6,0.037574746,0.05820365160757289,0.09399261557453942
4,Ebox/CAGCTG:bHLH,Myod1,0.29416603,0.029020022421040764,0.3991993703377361
5,Ebox/CAGCTG:bHLH,Tfap4,0.6065376,-0.40689769016471544,1.8376496149901146e-40
6,Ebox/CAGCTG:bHLH,Tcf12,1.6559187,-0.41610773280596924,3.7852133648417586e-42
7,Ebox/CAGCTG:bHLH,Twist1,0.3876592,-0.07982417148288609,0.023130762935763008
8,Ebox/CAGCTG:bHLH,Msc,0.41597316,-0.03183260277117084,0.39324131057791456
9,Ebox/CAGCTG:bHLH,Tcf21,0.50914353,0.013543650635573098,0.6688172773354195
