,family,gene,mean_expression,correlation,pval
2,TBX/2:TBX,Tbx2,0.000988943,-0.083321022580581,0.6147651852298532
0,ETS/1:ETS,Elf1,0.0009893546,0.29834470775938654,0.04626923155902518
1,ETS/1:ETS,Elf2,0.008068985,0.1953955641021157,0.3083374963447387
2,ETS/1:ETS,Gabpa,0.002513777,0.01650801497854427,1.0
3,ETS/1:ETS,Elk1,0.0010487356,0.06613984564299827,0.9238338080356077
4,ETS/1:ETS,Elk4,0.0022683602,0.10872765135589917,0.8447051568921983
5,ETS/1:ETS,Etv1,0.0039045983,0.08154396435731354,0.8398724148821521
6,ETS/1:ETS,Elf4,0.00017999491,0.02625701135301158,1.0
7,ETS/1:ETS,Elf5,5.99983e-05,0.007423446071164233,0.9969518978896259
8,ETS/1:ETS,Etv6,0.007673509,0.267555026678781,0.064083300914239
9,ETS/1:ETS,Elk3,0.0009887371,-0.03364669349575957,1.0
10,ETS/1:ETS,Zbtb7a,0.0023105808,0.08167943074724891,0.943114058978481
11,ETS/1:ETS,Etv4,2.999915e-05,0.14797340641764006,0.5103721031302756
12,ETS/1:ETS,Ets1,0.001177166,0.027277374883220448,1.0
13,ETS/1:ETS,Etv5,0.0015623954,-0.009400711257782848,1.0
14,ETS/1:ETS,Etv3,0.00071915926,-0.022450932222184507,1.0
15,ETS/1:ETS,Fli1,0.00032978487,-5.770906656357988e-05,0.9995453373791603
16,ETS/1:ETS,Spdef,0.0009990485,0.10254557925223586,0.7971176405203215
17,ETS/1:ETS,Erf,0.00017999491,0.16629440523573996,0.441965446248874
0,E2F/2:E2F,E2f1,0.0009887372,0.06928944284847613,0.7400092856927201
1,E2F/2:E2F,Tfdp1,0.002254961,-0.14983142751836068,0.8206800152155722
2,E2F/2:E2F,E2f4,0.0023557858,-0.07261599486446983,0.945540505172211
3,E2F/2:E2F,E2f6,0.0022144,0.0830246381372877,1.0
4,E2F/2:E2F,E2f3,0.002193077,0.019054763437902876,1.0
5,E2F/2:E2F,E2f7,0.00098874,-0.01004802824526077,0.920964001965083
0,HD/14:homeodomain,Meis1,0.0018803574,-0.09036988692636815,0.3712317229499873
0,NFY:NFY,Pbx3,0.0061994367,-0.11430594622395823,0.5149288043388734
1,NFY:NFY,Nfyc,0.0049457345,-0.10241589803548239,0.3106056993196738
2,NFY:NFY,Nfya,0.0015876942,-0.10995453093576932,0.3681891724760426
3,NFY:NFY,Nfyb,0.00648618,-0.1955613042569102,0.2047534232889365
