,agg_scores,exp_scores,cell_type_category
pseudobulk_0,0.4767455670175849,1.7235132,Stroma
pseudobulk_1,0.4956183224132329,1.8075175,Stroma
pseudobulk_2,0.4865156425923905,1.7658482,Stroma
pseudobulk_3,0.47903687359018593,1.6610595,Stroma
pseudobulk_4,0.3689948032911133,1.0936611,Nephron progenitor
pseudobulk_5,0.42023238480689146,1.1356678,Stroma
pseudobulk_6,0.47290491806597523,1.6582376,Stroma
pseudobulk_7,0.45860282144496667,1.7864648,Stroma
pseudobulk_8,0.46507770868629195,1.7809069,Stroma
pseudobulk_9,0.46603917676497647,1.7166784,Stroma
pseudobulk_10,0.47320975076240457,1.7776895,Stroma
pseudobulk_11,0.4570807883651436,1.7259942,Stroma
pseudobulk_12,0.47665317634186605,1.7753688,Stroma
pseudobulk_13,0.4277403898367962,1.3607761,Stroma
pseudobulk_14,0.4072313889471356,1.8048416,Stroma
pseudobulk_15,0.4269267253932834,1.1687281,Stroma
pseudobulk_16,0.4156988259687719,1.4763017,Stroma
pseudobulk_17,0.4702404889269441,1.81105,Stroma
pseudobulk_18,0.48188253759678557,1.8438514,Stroma
pseudobulk_19,0.4696514196630201,1.8129282,Stroma
pseudobulk_20,0.46442632702109804,1.8031281,Stroma
pseudobulk_21,0.463444636909568,1.8296825,Stroma
pseudobulk_22,0.44478490766072953,1.7633657,Stroma
pseudobulk_23,0.39544763827432994,1.4849284,Stroma
pseudobulk_24,0.41791177969872395,1.6854377,Stroma
pseudobulk_25,0.43187353454942135,1.6367549,Stroma
pseudobulk_26,0.4619561565511927,1.6955388,Stroma
pseudobulk_27,0.4218081024745254,1.6626016,Stroma
pseudobulk_28,0.45948727527058636,1.7574207,Stroma
pseudobulk_29,0.4465269050036761,1.7283139,Stroma
pseudobulk_30,0.42067818867996826,1.6058737,Stroma
pseudobulk_31,0.4578699887864528,1.6548154,Stroma
pseudobulk_32,0.4747447934253984,1.7219346,Stroma
pseudobulk_33,0.4202101752377948,1.640552,Stroma
pseudobulk_34,0.4197032350037914,1.6548706,Stroma
pseudobulk_35,0.4197240068864372,1.6885353,Stroma
pseudobulk_36,0.4592317722242533,1.7954606,Stroma
pseudobulk_37,0.4701913637063593,1.7588108,Stroma
pseudobulk_38,0.45040756780690255,1.7869071,Stroma
pseudobulk_39,0.4341389855040886,1.5709362,Stroma
pseudobulk_40,0.43654040730640636,1.6980895,Stroma
pseudobulk_41,0.41310076605486407,1.5885595,Stroma
pseudobulk_42,0.45227432809531043,1.7315841,Stroma
pseudobulk_43,0.4800949744142113,1.7268808,Stroma
pseudobulk_44,0.43785966519930875,1.5974476,Stroma
pseudobulk_45,0.483741979591141,1.8344845,Nephron progenitor
pseudobulk_46,0.47799973658771616,1.6912413,Stroma
pseudobulk_47,0.441618470370482,1.5543617,Stroma
pseudobulk_48,0.38396085348733466,1.4924306,Stroma
pseudobulk_49,0.4751580125056346,1.7682146,Stroma
pseudobulk_50,0.43225628766537894,1.5949968,Stroma
pseudobulk_51,0.46943564531170184,1.8617036,Stroma
pseudobulk_52,0.48985376192831265,1.8448466,Stroma
pseudobulk_53,0.47525281722755247,1.7996086,Stroma
pseudobulk_54,0.4722991372432229,1.8528097,Stroma
pseudobulk_55,0.47435716990866866,1.6814879,Stroma
pseudobulk_56,0.4834666700651234,1.7626342,Stroma
pseudobulk_57,0.48312472370434706,1.7655051,Stroma
pseudobulk_58,0.47525356167579624,1.835812,Stroma
pseudobulk_59,0.47039794431861615,1.7877274,Stroma
pseudobulk_60,0.5074203631174866,1.7177051,Stroma
pseudobulk_61,0.4648517641824098,1.6796689,Stroma
pseudobulk_62,0.47119708423133144,1.6794236,Stroma
pseudobulk_63,0.5130046817969252,1.8582332,Stroma
pseudobulk_64,0.4371047138065445,1.7898295,Stroma
pseudobulk_65,0.4978133061979376,1.8005466,Stroma
pseudobulk_66,0.4782841883941237,1.7910154,Stroma
pseudobulk_67,0.4388570975956974,1.7080964,Stroma
pseudobulk_68,0.4697094454943422,1.6825204,Stroma
pseudobulk_69,0.48228835389704416,1.8618996,Stroma
pseudobulk_70,0.47969082895928883,1.7351588,Stroma
pseudobulk_71,0.4762436374580797,1.6214788,Stroma
pseudobulk_72,0.46998676972406994,1.680915,Stroma
pseudobulk_73,0.48732931899212084,1.6331807,Stroma
pseudobulk_74,0.5163844341041081,1.7586775,Stroma
pseudobulk_75,0.4835371013828051,1.6869208,Stroma
pseudobulk_76,0.4907099900203743,1.739591,Stroma
pseudobulk_77,0.46854004237684077,1.7511361,Stroma
pseudobulk_78,0.48190562181912017,1.6690602,Stroma
pseudobulk_79,0.47139416088247943,1.734334,Stroma
pseudobulk_80,0.48024005340141335,1.7064819,Stroma
pseudobulk_81,0.43173889424087636,1.7288102,Stroma
pseudobulk_82,0.4800742503000462,1.6886504,Stroma
pseudobulk_83,0.4723462661372617,1.7712277,Stroma
pseudobulk_84,0.4016942046099211,1.5710574,Endothelium
pseudobulk_85,0.4518130457497559,1.9414215,Endothelium
pseudobulk_86,0.4288520675219697,1.5736588,Endothelium
pseudobulk_87,0.45544489434405144,1.9181325,Endothelium
pseudobulk_88,0.45809336432170905,1.9166958,Endothelium
pseudobulk_89,0.4255713891600377,1.6737543,Endothelium
pseudobulk_90,0.46340054468617775,1.8135858,Endothelium
pseudobulk_91,0.44101782620577634,1.7094843,Endothelium
pseudobulk_92,0.4309841127423476,1.7511718,Endothelium
pseudobulk_93,0.44121955053594475,1.72479,Endothelium
pseudobulk_94,0.4289238787221841,1.8617845,Endothelium
pseudobulk_95,0.4408676031559618,1.8755753,Endothelium
pseudobulk_96,0.42999694827841123,1.5587462,Endothelium
pseudobulk_97,0.4407496811928662,1.9062301,Endothelium
pseudobulk_98,0.44137100004922686,1.9480542,Endothelium
pseudobulk_99,0.4356136358859395,1.9470795,Endothelium
pseudobulk_100,0.4341035201619797,1.7086791,Endothelium
pseudobulk_101,0.3141466475989574,1.2600235,Nephron epithelium
pseudobulk_102,0.46889544346299467,1.7839165,Endothelium
pseudobulk_103,0.4658864602249618,1.8955202,Endothelium
pseudobulk_104,0.4599961857754776,1.7893964,Endothelium
pseudobulk_105,0.5121260894543372,1.8327501,Nephron progenitor
pseudobulk_106,0.4656955227960647,1.7038006,Nephron progenitor
